CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12620,"Bangor, ME",O3,4th Max,1,0.061,0.087,0.089,0.073,0.065,0.067,0.064,0.075,0.062,0.057,0.059,0.055,0.058,0.064,0.054,0.063,0.057,0.06,0.056,0.054,0.056
12660,"Baraboo, WI",O3,4th Max,1,0.073,0.074,0.073,0.074,0.065,0.076,0.064,0.07,0.061,0.062,0.06,0.065,0.073,0.063,0.064,0.063,0.066,0.061,0.067,0.061,0.065
12700,"Barnstable Town, MA",O3,4th Max,1,0.083,0.105,0.093,0.089,0.083,0.088,0.082,0.082,0.075,0.071,0.078,0.068,0.079,0.071,0.059,0.071,0.065,0.072,0.071,0.06,0.063
12940,"Baton Rouge, LA",NO2,Annual Mean,5,10,10,9,9,8,9,8,8,7,7,7,6,6,6,6,6,6,6,6,5,4
12940,"Baton Rouge, LA",NO2,98th Percentile,5,45,45,39,40,38,38,37,37,35,34,34,31,30,28,29,26,27,26,26,26,24
12940,"Baton Rouge, LA",O3,4th Max,9,0.092,0.079,0.076,0.086,0.08,0.084,0.085,0.081,0.073,0.075,0.075,0.079,0.073,0.064,0.069,0.07,0.066,0.069,0.069,0.066,0.065
12940,"Baton Rouge, LA",SO2,99th Percentile,2,104,100,99,81,102,117,100,102,97,103,64,40,32,24,21,19,17,16,18,15,15
13140,"Beaumont-Port Arthur, TX",NO2,Annual Mean,3,7,8,7,7,7,7,7,6,6,5,6,6,5,5,4,4,4,4,4,4,3
13140,"Beaumont-Port Arthur, TX",NO2,98th Percentile,3,41,43,38,37,37,37,35,35,35,32,34,33,29,28,29,26,28,27,25,25,25
13140,"Beaumont-Port Arthur, TX",O3,4th Max,6,0.088,0.082,0.08,0.083,0.083,0.081,0.083,0.077,0.071,0.072,0.076,0.077,0.072,0.064,0.065,0.067,0.063,0.064,0.071,0.067,0.061
13140,"Beaumont-Port Arthur, TX",SO2,99th Percentile,2,135,91,79,78,80,79,161,87,72,82,75,44,50,34,36,38,42,37,32,33,29
13380,"Bellingham, WA",O3,4th Max,1,0.052,0.05,0.053,0.056,0.062,0.055,0.055,0.052,0.049,0.046,0.048,0.043,0.047,0.043,0.047,0.048,0.045,0.05,0.062,0.044,0.05
13540,"Bennington, VT",O3,4th Max,1,0.071,0.083,0.086,0.073,0.075,0.073,0.068,0.077,0.069,0.068,0.068,0.059,0.069,0.062,0.061,0.063,0.067,0.065,0.065,0.056,0.053
13620,"Berlin, NH-VT",O3,4th Max,2,0.061,0.075,0.076,0.07,0.073,0.073,0.062,0.073,0.07,0.063,0.066,0.063,0.067,0.064,0.06,0.064,0.063,0.065,0.063,0.057,0.055
13740,"Billings, MT",SO2,99th Percentile,1,100,107,107,96,105,76,71,80,89,72,91,81,70,48,93,48,18,32,22,18,18
13820,"Birmingham-Hoover, AL",O3,4th Max,7,0.087,0.08,0.083,0.074,0.072,0.08,0.084,0.09,0.076,0.066,0.073,0.077,0.078,0.064,0.064,0.067,0.069,0.062,0.066,0.069,0.06
13820,"Birmingham-Hoover, AL",SO2,99th Percentile,1,149,63,50,53,56,70,70,50,69,41,33,31,36,22,17,17,11,12,11,10,5
13860,"Bishop, CA",O3,4th Max,1,0.079,0.081,0.083,0.08,0.079,0.085,0.082,0.085,0.077,0.07,0.069,0.075,0.073,0.07,0.069,0.07,0.072,0.07,0.078,0.069,0.072
13900,"Bismarck, ND",NO2,Annual Mean,1,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
13900,"Bismarck, ND",O3,4th Max,1,0.055,0.057,0.058,0.062,0.05,0.057,0.064,0.059,0.06,0.057,0.061,0.058,0.057,0.061,0.06,0.064,0.054,0.062,0.063,0.061,0.055
13900,"Bismarck, ND",SO2,99th Percentile,1,65,62,59,69,69,61,45,63,55,42,59,52,40,24,9,9,11,14,10,8,11
14010,"Bloomington, IL",O3,4th Max,1,0.072,0.072,0.085,0.074,0.068,0.077,0.072,0.075,0.067,0.071,0.066,0.068,0.079,0.069,0.066,0.063,0.065,0.064,0.068,0.063,0.07
14020,"Bloomington, IN",O3,4th Max,1,0.09,0.085,0.093,0.088,0.073,0.079,0.076,0.084,0.072,0.068,0.074,0.08,0.082,0.068,0.064,0.067,0.069,0.067,0.066,0.062,0.064
14460,"Boston-Cambridge-Newton, MA-NH",NO2,Annual Mean,3,22,22,20,19,17,17,17,16,17,15,14,16,14,14,13,13,11,10,10,9,8
14460,"Boston-Cambridge-Newton, MA-NH",NO2,98th Percentile,3,61,61,57,55,52,52,49,50,51,50,49,51,45,46,47,50,43,41,42,42,39
14460,"Boston-Cambridge-Newton, MA-NH",O3,4th Max,3,0.079,0.096,0.094,0.081,0.075,0.081,0.077,0.082,0.072,0.069,0.069,0.067,0.069,0.068,0.061,0.063,0.065,0.071,0.068,0.062,0.056
14460,"Boston-Cambridge-Newton, MA-NH",SO2,99th Percentile,2,49,41,35,35,34,33,23,26,23,23,20,22,13,12,11,7,4,3,4,2,2
14540,"Bowling Green, KY",O3,4th Max,1,0.088,0.08,0.085,0.076,0.07,0.075,0.071,0.082,0.07,0.065,0.075,0.071,0.081,0.063,0.065,0.063,0.065,0.064,0.061,0.06,0.056
14860,"Bridgeport-Stamford-Norwalk, CT",O3,4th Max,4,0.087,0.098,0.106,0.096,0.081,0.094,0.092,0.088,0.086,0.072,0.08,0.085,0.088,0.084,0.077,0.084,0.083,0.077,0.082,0.08,0.073
15260,"Brunswick, GA",O3,4th Max,1,0.073,0.071,0.076,0.069,0.073,0.064,0.069,0.062,0.067,0.057,0.066,0.062,0.057,0.057,0.057,0.055,0.057,0.056,0.06,0.06,0.052
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",NO2,Annual Mean,1,22,21,20,20,18,19,16,16,15,14,13,13,10,10,9,11,10,10,10,9,8
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",O3,4th Max,2,0.083,0.099,0.102,0.092,0.078,0.09,0.079,0.084,0.075,0.066,0.072,0.071,0.081,0.068,0.062,0.069,0.072,0.064,0.069,0.061,0.065
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",SO2,99th Percentile,1,81,69,50,63,44,37,28,27,20,20,15,22,14,11,8,11,7,8,7,13,16
15540,"Burlington-South Burlington, VT",O3,4th Max,1,0.069,0.076,0.084,0.074,0.07,0.069,0.065,0.077,0.072,0.06,0.063,0.058,0.065,0.062,0.059,0.066,0.06,0.06,0.062,0.054,0.056
15620,"Cadillac, MI",O3,4th Max,1,0.073,0.084,0.077,0.082,0.071,0.074,0.073,0.076,0.066,0.065,0.065,0.067,0.078,0.065,0.063,0.064,0.074,0.062,0.066,0.058,0.068
15940,"Canton-Massillon, OH",O3,4th Max,2,0.084,0.089,0.096,0.087,0.075,0.081,0.077,0.086,0.077,0.064,0.079,0.079,0.074,0.069,0.063,0.07,0.072,0.066,0.069,0.065,0.065
15980,"Cape Coral-Fort Myers, FL",O3,4th Max,2,0.071,0.067,0.062,0.074,0.072,0.07,0.07,0.069,0.068,0.062,0.064,0.062,0.063,0.065,0.062,0.058,0.06,0.063,0.065,0.061,0.06
16100,"Carlsbad-Artesia, NM",NO2,Annual Mean,1,6,4,4,4,4,3,3,3,3,3,2,3,2,2,3,2,2,3,5,5,5
16100,"Carlsbad-Artesia, NM",O3,4th Max,1,0.069,0.066,0.075,0.065,0.065,0.067,0.076,0.066,0.067,0.066,0.069,0.071,0.073,0.069,0.072,0.067,0.063,0.076,0.083,0.08,0.073
16300,"Cedar Rapids, IA",O3,4th Max,1,0.075,0.069,0.07,0.068,0.064,0.073,0.064,0.075,0.063,0.061,0.064,0.065,0.069,0.06,0.061,0.06,0.063,0.062,0.069,0.058,0.064
16540,"Chambersburg-Waynesboro, PA",O3,4th Max,1,0.085,0.095,0.104,0.078,0.071,0.074,0.066,0.077,0.073,0.059,0.068,0.067,0.067,0.07,0.063,0.059,0.059,0.059,0.059,0.059,0.05
16700,"Charleston-North Charleston, SC",NO2,Annual Mean,1,11,11,10,10,10,10,9,8,9,8,8,7,7,7,7,6,5,7,6,6,6
16700,"Charleston-North Charleston, SC",O3,4th Max,2,0.078,0.07,0.075,0.072,0.072,0.073,0.071,0.067,0.069,0.06,0.067,0.066,0.063,0.059,0.06,0.054,0.059,0.062,0.058,0.064,0.059
16700,"Charleston-North Charleston, SC",SO2,99th Percentile,2,30,26,33,31,37,36,31,25,35,21,17,12,10,9,8,7,7,8,9,7,7
16740,"Charlotte-Concord-Gastonia, NC-SC",NO2,Annual Mean,1,18,17,15,16,15,15,13,14,11,10,12,10,9,8,9,8,8,7,6,7,6
16740,"Charlotte-Concord-Gastonia, NC-SC",NO2,98th Percentile,1,65,61,57,56,53,52,53,54,50,44,50,42,41,39,41,37,38,39,37,34,31
16740,"Charlotte-Concord-Gastonia, NC-SC",O3,4th Max,4,0.092,0.093,0.101,0.089,0.078,0.085,0.085,0.089,0.082,0.069,0.076,0.079,0.078,0.064,0.065,0.069,0.069,0.065,0.066,0.069,0.056
16860,"Chattanooga, TN-GA",O3,4th Max,1,0.098,0.082,0.099,0.08,0.076,0.077,0.088,0.085,0.076,0.066,0.076,0.074,0.077,0.061,0.064,0.068,0.065,0.064,0.064,0.064,0.057
16980,"Chicago-Naperville-Elgin, IL-IN-WI",NO2,Annual Mean,4,24,24,24,25,23,23,21,21,19,18,19,17,16,16,16,14,13,13,15,13,12
16980,"Chicago-Naperville-Elgin, IL-IN-WI",NO2,98th Percentile,3,77,77,80,76,70,76,62,69,65,61,60,61,62,62,63,56,59,53,56,52,51
16980,"Chicago-Naperville-Elgin, IL-IN-WI",O3,4th Max,18,0.075,0.082,0.093,0.077,0.068,0.083,0.069,0.079,0.064,0.065,0.069,0.071,0.081,0.066,0.068,0.066,0.074,0.071,0.074,0.068,0.075
16980,"Chicago-Naperville-Elgin, IL-IN-WI",SO2,99th Percentile,4,81,84,67,60,66,82,67,74,71,65,57,58,56,44,29,29,23,22,19,22,23
17020,"Chico, CA",O3,4th Max,1,0.088,0.088,0.094,0.086,0.084,0.081,0.089,0.083,0.083,0.079,0.076,0.077,0.078,0.073,0.074,0.075,0.077,0.077,0.084,0.063,0.074
17140,"Cincinnati, OH-KY-IN",NO2,Annual Mean,1,22,21,21,22,19,21,18,17,16,14,15,13,12,12,11,11,9,7,10,9,9
17140,"Cincinnati, OH-KY-IN",NO2,98th Percentile,1,61,65,72,61,57,69,56,56,58,50,54,46,46,45,45,45,41,41,41,39,39
17140,"Cincinnati, OH-KY-IN",O3,4th Max,5,0.082,0.083,0.097,0.086,0.075,0.085,0.078,0.085,0.076,0.069,0.075,0.081,0.083,0.065,0.069,0.069,0.072,0.068,0.073,0.069,0.067
17460,"Cleveland-Elyria, OH",NO2,Annual Mean,1,23,24,22,22,22,22,18,20,17,17,16,15,14,13,12,13,11,11,11,10,7
17460,"Cleveland-Elyria, OH",NO2,98th Percentile,1,61,76,73,68,70,68,58,61,58,58,58,50,48,53,48,50,50,46,49,45,36
17460,"Cleveland-Elyria, OH",O3,4th Max,5,0.075,0.088,0.1,0.087,0.07,0.083,0.075,0.077,0.079,0.068,0.077,0.076,0.085,0.067,0.066,0.071,0.072,0.069,0.072,0.068,0.07
17460,"Cleveland-Elyria, OH",SO2,99th Percentile,5,71,64,53,66,55,75,77,70,57,49,49,56,79,43,50,83,98,21,19,13,13
17540,"Clinton, IA",O3,4th Max,1,0.077,0.079,0.08,0.075,0.066,0.078,0.065,0.074,0.063,0.064,0.064,0.066,0.076,0.062,0.065,0.061,0.063,0.062,0.067,0.058,0.062
17540,"Clinton, IA",SO2,99th Percentile,1,82,36,24,30,29,53,50,42,29,44,31,18,60,35,22,33,31,16,25,15,19
17820,"Colorado Springs, CO",O3,4th Max,1,0.072,0.07,0.072,0.077,0.07,0.077,0.072,0.072,0.07,0.06,0.068,0.074,0.075,0.074,0.064,0.067,0.069,0.069,0.073,0.065,0.079
17900,"Columbia, SC",O3,4th Max,3,0.087,0.084,0.086,0.077,0.077,0.082,0.077,0.077,0.076,0.063,0.069,0.073,0.062,0.056,0.059,0.058,0.064,0.058,0.059,0.063,0.053
17980,"Columbus, GA-AL",O3,4th Max,1,0.087,0.073,0.079,0.07,0.068,0.078,0.08,0.083,0.073,0.065,0.068,0.068,0.066,0.06,0.061,0.062,0.065,0.058,0.059,0.063,0.053
18140,"Columbus, GA-AL",O3,4th Max,5,0.086,0.085,0.098,0.088,0.075,0.084,0.076,0.081,0.074,0.07,0.074,0.078,0.078,0.068,0.068,0.068,0.069,0.065,0.065,0.063,0.063
18580,"Corpus Christi, TX",O3,4th Max,2,0.082,0.075,0.081,0.08,0.074,0.068,0.07,0.069,0.072,0.066,0.073,0.077,0.067,0.066,0.066,0.064,0.062,0.061,0.061,0.06,0.063
18580,"Corpus Christi, TX",SO2,99th Percentile,2,29,27,20,29,26,22,15,12,17,10,12,9,5,4,4,3,3,4,4,6,3
19000,"Cullowhee, NC",O3,4th Max,1,0.083,0.079,0.082,0.079,0.069,0.075,0.08,0.08,0.072,0.063,0.069,0.068,0.069,0.067,0.068,0.065,0.069,0.064,0.065,0.065,0.065
19100,"Dallas-Fort Worth-Arlington, TX",NO2,Annual Mean,8,12,12,12,12,11,12,11,11,10,8,9,8,8,7,7,6,6,6,6,6,6
19100,"Dallas-Fort Worth-Arlington, TX",NO2,98th Percentile,6,50,49,47,46,44,46,45,42,42,39,41,42,41,39,37,38,36,35,37,37,37
19100,"Dallas-Fort Worth-Arlington, TX",O3,4th Max,15,0.09,0.089,0.092,0.088,0.087,0.092,0.089,0.081,0.077,0.08,0.076,0.084,0.082,0.077,0.071,0.076,0.067,0.07,0.077,0.069,0.069
19100,"Dallas-Fort Worth-Arlington, TX",SO2,99th Percentile,2,91,89,31,40,46,53,60,56,36,15,16,12,13,16,12,6,6,8,7,5,7
19140,"Dalton, GA",O3,4th Max,1,0.09,0.08,0.092,0.085,0.074,0.08,0.075,0.082,0.076,0.069,0.073,0.073,0.07,0.062,0.067,0.063,0.067,0.065,0.064,0.067,0.057
19300,"Daphne-Fairhope-Foley, AL",O3,4th Max,1,0.097,0.078,0.072,0.078,0.08,0.074,0.081,0.078,0.072,0.069,0.074,0.073,0.067,0.062,0.07,0.063,0.062,0.064,0.064,0.063,0.057
19340,"Davenport-Moline-Rock Island, IA-IL",O3,4th Max,2,0.075,0.076,0.077,0.072,0.064,0.071,0.065,0.072,0.061,0.061,0.061,0.059,0.069,0.064,0.063,0.062,0.064,0.064,0.069,0.062,0.059
19340,"Davenport-Moline-Rock Island, IA-IL",SO2,99th Percentile,1,46,36,25,30,34,37,29,17,12,14,17,19,12,15,10,7,4,4,5,5,4
19380,"Dayton, OH",O3,4th Max,3,0.079,0.081,0.096,0.083,0.072,0.081,0.075,0.074,0.071,0.07,0.07,0.075,0.077,0.068,0.066,0.069,0.069,0.066,0.067,0.062,0.062
19460,"Decatur, AL",O3,4th Max,1,0.091,0.077,0.087,0.081,0.072,0.079,0.078,0.081,0.068,0.062,0.07,0.07,0.074,0.06,0.062,0.063,0.067,0.06,0.066,0.064,0.057
19500,"Decatur, IL",O3,4th Max,1,0.077,0.071,0.085,0.071,0.064,0.076,0.071,0.077,0.066,0.067,0.069,0.075,0.076,0.064,0.067,0.066,0.066,0.068,0.069,0.063,0.065
19500,"Decatur, IL",SO2,99th Percentile,1,58,65,41,49,45,44,46,51,44,36,49,33,38,33,38,39,54,40,37,23,22
19660,"Deltona-Daytona Beach-Ormond Beach, FL",O3,4th Max,1,0.076,0.073,0.069,0.07,0.068,0.068,0.071,0.065,0.064,0.06,0.066,0.064,0.064,0.061,0.062,0.057,0.059,0.062,0.064,0.056,0.059
19740,"Denver-Aurora-Lakewood, CO",NO2,Annual Mean,2,26,31,28,28,24,24,24,24,22,21,22,21,22,21,21,20,19,17,17,18,15
19740,"Denver-Aurora-Lakewood, CO",O3,4th Max,5,0.074,0.074,0.076,0.084,0.069,0.075,0.081,0.08,0.075,0.072,0.072,0.079,0.08,0.081,0.073,0.075,0.075,0.073,0.075,0.07,0.082
19740,"Denver-Aurora-Lakewood, CO",SO2,99th Percentile,2,64,73,73,58,40,39,33,30,30,33,35,32,34,34,16,15,14,13,7,6,6
19820,"Denver-Aurora-Lakewood, CO",NO2,Annual Mean,1,18,19,18,19,15,17,14,14,13,13,12,12,11,11,12,11,10,9,9,9,9
19820,"Denver-Aurora-Lakewood, CO",NO2,98th Percentile,1,70,70,65,60,54,51,47,48,49,50,54,49,41,41,52,45,42,42,43,43,43
19820,"Denver-Aurora-Lakewood, CO",O3,4th Max,6,0.076,0.089,0.092,0.094,0.072,0.083,0.075,0.088,0.072,0.071,0.074,0.079,0.081,0.068,0.069,0.068,0.073,0.068,0.074,0.065,0.072
19820,"Denver-Aurora-Lakewood, CO",SO2,99th Percentile,1,114,129,126,122,130,125,130,116,101,79,107,94,80,66,72,55,59,70,67,61,43
19860,"Dickinson, ND",O3,4th Max,1,0.059,0.058,0.062,0.059,0.055,0.059,0.066,0.064,0.061,0.056,0.061,0.058,0.057,0.057,0.055,0.064,0.056,0.061,0.061,0.058,0.053
19860,"Dickinson, ND",SO2,99th Percentile,1,10,11,10,9,7,6,6,7,6,9,6,5,6,4,5,6,4,5,5,4,5
20100,"Dover, DE",O3,4th Max,1,0.093,0.091,0.094,0.084,0.075,0.082,0.085,0.078,0.081,0.066,0.077,0.072,0.087,0.064,0.066,0.066,0.068,0.066,0.067,0.062,0.062
20180,"DuBois, PA",O3,4th Max,1,0.079,0.089,0.095,0.087,0.074,0.086,0.072,0.072,0.077,0.066,0.077,0.073,0.073,0.067,0.06,0.068,0.066,0.064,0.064,0.054,0.053
20260,"Duluth, MN-WI",O3,4th Max,1,0.065,0.062,0.065,0.068,0.061,0.07,0.063,0.063,0.059,0.062,0.067,0.059,0.063,0.057,0.057,0.056,0.052,0.054,0.059,0.056,0.054
20420,"Durango, CO",NO2,Annual Mean,2,7,7,7,7,7,7,6,7,6,8,6,6,5,5,4,4,5,5,5,5,5
20420,"Durango, CO",O3,4th Max,1,0.061,0.051,0.055,0.06,0.06,0.066,0.063,0.071,0.067,0.066,0.067,0.069,0.069,0.067,0.065,0.066,0.072,0.069,0.067,0.063,0.065
20500,"Durham-Chapel Hill, NC",O3,4th Max,1,0.082,0.088,0.102,0.083,0.076,0.079,0.075,0.079,0.078,0.065,0.074,0.072,0.076,0.059,0.065,0.061,0.063,0.061,0.063,0.063,0.051
20820,"Effingham, IL",O3,4th Max,1,0.074,0.077,0.08,0.069,0.067,0.073,0.067,0.078,0.063,0.067,0.072,0.066,0.073,0.064,0.063,0.064,0.066,0.07,0.066,0.063,0.062
20940,"El Centro, CA",NO2,Annual Mean,2,15,12,12,12,14,13,12,13,12,11,9,11,12,10,10,9,8,9,10,8,9
20940,"El Centro, CA",NO2,98th Percentile,1,88,88,88,61,76,80,73,72,73,72,56,63,66,62,61,60,60,59,64,49,51
20940,"El Centro, CA",O3,4th Max,3,0.083,0.087,0.084,0.073,0.075,0.08,0.077,0.083,0.079,0.078,0.074,0.076,0.078,0.077,0.075,0.075,0.07,0.073,0.067,0.065,0.064
21340,"El Paso, TX",NO2,Annual Mean,3,19,19,19,18,16,15,17,17,16,15,15,15,14,13,12,12,12,12,13,11,13
21340,"El Paso, TX",NO2,98th Percentile,1,67,68,80,65,66,64,65,63,67,56,55,54,53,51,54,59,60,58,61,61,61
21340,"El Paso, TX",O3,4th Max,6,0.078,0.075,0.082,0.071,0.074,0.077,0.077,0.074,0.074,0.068,0.068,0.069,0.066,0.066,0.066,0.068,0.066,0.069,0.075,0.07,0.072
21060,"Elizabethtown-Fort Knox, KY",O3,4th Max,1,0.085,0.08,0.084,0.073,0.068,0.079,0.074,0.083,0.074,0.066,0.071,0.069,0.079,0.062,0.062,0.066,0.068,0.06,0.067,0.058,0.06
21140,"Elkhart-Goshen, IN",O3,4th Max,1,0.099,0.099,0.099,0.087,0.077,0.086,0.067,0.082,0.068,0.061,0.065,0.072,0.075,0.055,0.055,0.058,0.072,0.064,0.07,0.058,0.062
21500,"Erie, PA",NO2,Annual Mean,1,12,12,12,12,12,13,11,11,9,8,8,7,6,6,6,6,5,3,4,4,4
21500,"Erie, PA",NO2,98th Percentile,1,49,53,49,51,52,57,57,48,49,38,40,41,31,36,40,43,37,31,31,31,31
21500,"Erie, PA",O3,4th Max,1,0.078,0.089,0.098,0.091,0.074,0.086,0.077,0.084,0.074,0.069,0.075,0.072,0.082,0.068,0.065,0.066,0.067,0.063,0.062,0.063,0.061
21660,"Eugene, OR",O3,4th Max,2,0.056,0.064,0.066,0.075,0.066,0.068,0.073,0.06,0.059,0.065,0.058,0.059,0.061,0.055,0.058,0.07,0.057,0.072,0.06,0.055,0.054
21780,"Evansville, IN-KY",O3,4th Max,4,0.078,0.076,0.09,0.077,0.068,0.073,0.073,0.084,0.072,0.068,0.071,0.075,0.077,0.066,0.067,0.068,0.07,0.068,0.068,0.063,0.065
21780,"Evansville, IN-KY",SO2,99th Percentile,1,203,203,235,266,226,246,265,136,90,65,74,68,76,64,77,59,71,48,49,41,59
22020,"Fargo, ND-MN",NO2,Annual Mean,1,7,6,6,6,6,6,6,5,5,5,5,4,5,4,4,4,4,4,4,4,4
22020,"Fargo, ND-MN",NO2,98th Percentile,1,40,40,33,39,42,38,38,36,39,42,44,40,34,36,34,31,27,34,32,39,34
